R/I mag,Keck NGS (PWFS),Keck NGS (KPIC),Keck LGS,NFIRAOS NGS,NFIRAOS MCAO,,
0,199.3559281,148.7339439,286,156,193
1,199.3750163,148.7595279,286,156,193
2,199.4229632,148.8237826,286,156,193
3,199.5433646,148.985081,286,156,193
4,199.8455721,149.3896003,286,156,193
5,200.6032159,150.4016297,286,156,193
6,202.4971635,152.9186098,286,156,193
7,207.1988538,159.092316,286,156,193
8,217.0199039,171.6876195,286,156,193
9,237.2205094,196.6025688,286,158,193
10,274.928956,240.7590722,287,162,193
11,342.008328,315.1962824,288,171,193
12,469.3926873,450.2316014,289,190,193
13,700.4876735,687.7950136,293,233,193
14,1253.393087,1246.343946,302,316,193
15,2736.911045,2733.69001,312,462,193
16,10000,10000,318,707,193
17,10000,10000,357,1104,193
18,10000,10000,403,1739,193
19,10000,10000,475,2750,193
20,10000,10000,579,4354,193