Wavelength,FSS99 Ag
0.9,0.9975
0.901,0.9974891
0.902,0.9974768
0.903,0.9974637
0.904,0.9974504
0.905,0.9974375
0.906,0.9974256
0.907,0.9974153
0.908,0.9974072
0.909,0.9974019
0.91,0.9974
0.911,0.9974
0.912,0.9974
0.913,0.9974
0.914,0.9974
0.915,0.9974
0.916,0.9974
0.917,0.9974
0.918,0.9974
0.919,0.9974
0.92,0.9974
0.921,0.9973956
0.922,0.997383467
0.923,0.9973652
0.924,0.9973424
0.925,0.997316667
0.926,0.9972896
0.927,0.9972628
0.928,0.997237867
0.929,0.9972164
0.93,0.9972
0.931,0.9971873
0.932,0.997175733
0.933,0.9971651
0.934,0.9971552
0.935,0.997145833
0.936,0.9971368
0.937,0.9971279
0.938,0.997118933
0.939,0.9971097
0.94,0.9971
0.941,0.9970903
0.942,0.997081067
0.943,0.9970721
0.944,0.9970632
0.945,0.997054167
0.946,0.9970448
0.947,0.9970349
0.948,0.997024267
0.949,0.9970127
0.95,0.997
0.951,0.9969848
0.952,0.9969664
0.953,0.9969456
0.954,0.9969232
0.955,0.9969
0.956,0.9968768
0.957,0.9968544
0.958,0.9968336
0.959,0.9968152
0.96,0.9968
0.961,0.9967864
0.962,0.996772533
0.963,0.9967588
0.964,0.9967456
0.965,0.996733333
0.966,0.9967224
0.967,0.9967132
0.968,0.996706133
0.969,0.9967016
0.97,0.9967
0.971,0.9967
0.972,0.9967
0.973,0.9967
0.974,0.9967
0.975,0.9967
0.976,0.9967
0.977,0.9967
0.978,0.9967
0.979,0.9967
0.98,0.9967
0.981,0.9967
0.982,0.9967
0.983,0.9967
0.984,0.9967
0.985,0.9967
0.986,0.9967
0.987,0.9967
0.988,0.9967
0.989,0.9967
0.99,0.9967
0.991,0.9967
0.992,0.9967
0.993,0.9967
0.994,0.9967
0.995,0.9967
0.996,0.9967
0.997,0.9967
0.998,0.9967
0.999,0.9967
1,0.9967
1.001,0.9967
1.002,0.9967
1.003,0.9967
1.004,0.9967
1.005,0.9967
1.006,0.9967
1.007,0.9967
1.008,0.9967
1.009,0.9967
1.01,0.9967
1.011,0.9967
1.012,0.9967
1.013,0.9967
1.014,0.9967
1.015,0.9967
1.016,0.9967
1.017,0.9967
1.018,0.9967
1.019,0.9967
1.02,0.9967
1.021,0.9967019
1.022,0.9967072
1.023,0.9967153
1.024,0.9967256
1.025,0.9967375
1.026,0.9967504
1.027,0.9967637
1.028,0.9967768
1.029,0.9967891
1.03,0.9968
1.031,0.9968109
1.032,0.9968232
1.033,0.9968363
1.034,0.9968496
1.035,0.9968625
1.036,0.9968744
1.037,0.9968847
1.038,0.9968928
1.039,0.9968981
1.04,0.9969
1.041,0.9969
1.042,0.9969
1.043,0.9969
1.044,0.9969
1.045,0.9969
1.046,0.9969
1.047,0.9969
1.048,0.9969
1.049,0.9969
1.05,0.9969
1.051,0.9969028
1.052,0.9969104
1.053,0.9969216
1.054,0.9969352
1.055,0.99695
1.056,0.9969648
1.057,0.9969784
1.058,0.9969896
1.059,0.9969972
1.06,0.997
1.061,0.9969984
1.062,0.996993867
1.063,0.9969868
1.064,0.9969776
1.065,0.996966667
1.066,0.9969544
1.067,0.9969412
1.068,0.996927467
1.069,0.9969136
1.07,0.9969
1.071,0.9968848
1.072,0.9968664
1.073,0.9968456
1.074,0.9968232
1.075,0.9968
1.076,0.9967768
1.077,0.9967544
1.078,0.9967336
1.079,0.9967152
1.08,0.9967
1.081,0.9966873
1.082,0.996675733
1.083,0.9966651
1.084,0.9966552
1.085,0.996645833
1.086,0.9966368
1.087,0.9966279
1.088,0.996618933
1.089,0.9966097
1.09,0.9966
1.091,0.9965903
1.092,0.996581067
1.093,0.9965721
1.094,0.9965632
1.095,0.996554167
1.096,0.9965448
1.097,0.9965349
1.098,0.996524267
1.099,0.9965127
1.1,0.9965
1.101,0.9964848
1.102,0.9964664
1.103,0.9964456
1.104,0.9964232
1.105,0.9964
1.106,0.9963768
1.107,0.9963544
1.108,0.9963336
1.109,0.9963152
1.11,0.9963
1.111,0.9962873
1.112,0.996275733
1.113,0.9962651
1.114,0.9962552
1.115,0.996245833
1.116,0.9962368
1.117,0.9962279
1.118,0.996218933
1.119,0.9962097
1.12,0.9962
1.121,0.9961903
1.122,0.996181067
1.123,0.9961721
1.124,0.9961632
1.125,0.996154167
1.126,0.9961448
1.127,0.9961349
1.128,0.996124267
1.129,0.9961127
1.13,0.9961
1.131,0.9960848
1.132,0.9960664
1.133,0.9960456
1.134,0.9960232
1.135,0.996
1.136,0.9959768
1.137,0.9959544
1.138,0.9959336
1.139,0.9959152
1.14,0.9959
1.141,0.9958864
1.142,0.995872533
1.143,0.9958588
1.144,0.9958456
1.145,0.995833333
1.146,0.9958224
1.147,0.9958132
1.148,0.995806133
1.149,0.9958016
1.15,0.9958
1.151,0.9958
1.152,0.9958
1.153,0.9958
1.154,0.9958
1.155,0.9958
1.156,0.9958
1.157,0.9958
1.158,0.9958
1.159,0.9958
1.16,0.9958
1.161,0.9958
1.162,0.9958
1.163,0.9958
1.164,0.9958
1.165,0.9958
1.166,0.9958
1.167,0.9958
1.168,0.9958
1.169,0.9958
1.17,0.9958
1.171,0.9958
1.172,0.9958
1.173,0.9958
1.174,0.9958
1.175,0.9958
1.176,0.9958
1.177,0.9958
1.178,0.9958
1.179,0.9958
1.18,0.9958
1.181,0.9958
1.182,0.9958
1.183,0.9958
1.184,0.9958
1.185,0.9958
1.186,0.9958
1.187,0.9958
1.188,0.9958
1.189,0.9958
1.19,0.9958
1.191,0.9958
1.192,0.9958
1.193,0.9958
1.194,0.9958
1.195,0.9958
1.196,0.9958
1.197,0.9958
1.198,0.9958
1.199,0.9958
1.2,0.9958
1.201,0.9957956
1.202,0.995783467
1.203,0.9957652
1.204,0.9957424
1.205,0.995716667
1.206,0.9956896
1.207,0.9956628
1.208,0.995637867
1.209,0.9956164
1.21,0.9956
1.211,0.9955873
1.212,0.995575733
1.213,0.9955651
1.214,0.9955552
1.215,0.995545833
1.216,0.9955368
1.217,0.9955279
1.218,0.995518933
1.219,0.9955097
1.22,0.9955
1.221,0.99549
1.222,0.99548
1.223,0.99547
1.224,0.99546
1.225,0.99545
1.226,0.99544
1.227,0.99543
1.228,0.99542
1.229,0.99541
1.23,0.9954
1.231,0.99539
1.232,0.99538
1.233,0.99537
1.234,0.99536
1.235,0.99535
1.236,0.99534
1.237,0.99533
1.238,0.99532
1.239,0.99531
1.24,0.9953
1.241,0.99529
1.242,0.99528
1.243,0.99527
1.244,0.99526
1.245,0.99525
1.246,0.99524
1.247,0.99523
1.248,0.99522
1.249,0.99521
1.25,0.9952
1.251,0.9951903
1.252,0.995181067
1.253,0.9951721
1.254,0.9951632
1.255,0.995154167
1.256,0.9951448
1.257,0.9951349
1.258,0.995124267
1.259,0.9951127
1.26,0.9951
1.261,0.9950848
1.262,0.9950664
1.263,0.9950456
1.264,0.9950232
1.265,0.995
1.266,0.9949768
1.267,0.9949544
1.268,0.9949336
1.269,0.9949152
1.27,0.9949
1.271,0.9948873
1.272,0.994875733
1.273,0.9948651
1.274,0.9948552
1.275,0.994845833
1.276,0.9948368
1.277,0.9948279
1.278,0.994818933
1.279,0.9948097
1.28,0.9948
1.281,0.9947891
1.282,0.9947768
1.283,0.9947637
1.284,0.9947504
1.285,0.9947375
1.286,0.9947256
1.287,0.9947153
1.288,0.9947072
1.289,0.9947019
1.29,0.9947
1.291,0.9947
1.292,0.9947
1.293,0.9947
1.294,0.9947
1.295,0.9947
1.296,0.9947
1.297,0.9947
1.298,0.9947
1.299,0.9947
1.3,0.9947
1.301,0.9947
1.302,0.9947
1.303,0.9947
1.304,0.9947
1.305,0.9947
1.306,0.9947
1.307,0.9947
1.308,0.9947
1.309,0.9947
1.31,0.9947
1.311,0.9947019
1.312,0.9947072
1.313,0.9947153
1.314,0.9947256
1.315,0.9947375
1.316,0.9947504
1.317,0.9947637
1.318,0.9947768
1.319,0.9947891
1.32,0.9948
1.321,0.9948109
1.322,0.9948232
1.323,0.9948363
1.324,0.9948496
1.325,0.9948625
1.326,0.9948744
1.327,0.9948847
1.328,0.9948928
1.329,0.9948981
1.33,0.9949
1.331,0.9949
1.332,0.9949
1.333,0.9949
1.334,0.9949
1.335,0.9949
1.336,0.9949
1.337,0.9949
1.338,0.9949
1.339,0.9949
1.34,0.9949
1.341,0.9949019
1.342,0.9949072
1.343,0.9949153
1.344,0.9949256
1.345,0.9949375
1.346,0.9949504
1.347,0.9949637
1.348,0.9949768
1.349,0.9949891
1.35,0.995
1.351,0.9950109
1.352,0.9950232
1.353,0.9950363
1.354,0.9950496
1.355,0.9950625
1.356,0.9950744
1.357,0.9950847
1.358,0.9950928
1.359,0.9950981
1.36,0.9951
1.361,0.9951
1.362,0.9951
1.363,0.9951
1.364,0.9951
1.365,0.9951
1.366,0.9951
1.367,0.9951
1.368,0.9951
1.369,0.9951
1.37,0.9951
1.371,0.9951028
1.372,0.9951104
1.373,0.9951216
1.374,0.9951352
1.375,0.99515
1.376,0.9951648
1.377,0.9951784
1.378,0.9951896
1.379,0.9951972
1.38,0.9952
1.381,0.9952
1.382,0.9952
1.383,0.9952
1.384,0.9952
1.385,0.9952
1.386,0.9952
1.387,0.9952
1.388,0.9952
1.389,0.9952
1.39,0.9952
1.391,0.9952019
1.392,0.9952072
1.393,0.9952153
1.394,0.9952256
1.395,0.9952375
1.396,0.9952504
1.397,0.9952637
1.398,0.9952768
1.399,0.9952891
1.4,0.9953
1.401,0.9953109
1.402,0.9953232
1.403,0.9953363
1.404,0.9953496
1.405,0.9953625
1.406,0.9953744
1.407,0.9953847
1.408,0.9953928
1.409,0.9953981
1.41,0.9954
1.411,0.9954
1.412,0.9954
1.413,0.9954
1.414,0.9954
1.415,0.9954
1.416,0.9954
1.417,0.9954
1.418,0.9954
1.419,0.9954
1.42,0.9954
1.421,0.9954028
1.422,0.9954104
1.423,0.9954216
1.424,0.9954352
1.425,0.99545
1.426,0.9954648
1.427,0.9954784
1.428,0.9954896
1.429,0.9954972
1.43,0.9955
1.431,0.9955
1.432,0.9955
1.433,0.9955
1.434,0.9955
1.435,0.9955
1.436,0.9955
1.437,0.9955
1.438,0.9955
1.439,0.9955
1.44,0.9955
1.441,0.9955019
1.442,0.9955072
1.443,0.9955153
1.444,0.9955256
1.445,0.9955375
1.446,0.9955504
1.447,0.9955637
1.448,0.9955768
1.449,0.9955891
1.45,0.9956
1.451,0.99561
1.452,0.99562
1.453,0.99563
1.454,0.99564
1.455,0.99565
1.456,0.99566
1.457,0.99567
1.458,0.99568
1.459,0.99569
1.46,0.9957
1.461,0.9957109
1.462,0.9957232
1.463,0.9957363
1.464,0.9957496
1.465,0.9957625
1.466,0.9957744
1.467,0.9957847
1.468,0.9957928
1.469,0.9957981
1.47,0.9958
1.471,0.9958
1.472,0.9958
1.473,0.9958
1.474,0.9958
1.475,0.9958
1.476,0.9958
1.477,0.9958
1.478,0.9958
1.479,0.9958
1.48,0.9958
1.481,0.9958
1.482,0.9958
1.483,0.9958
1.484,0.9958
1.485,0.9958
1.486,0.9958
1.487,0.9958
1.488,0.9958
1.489,0.9958
1.49,0.9958
1.491,0.9958
1.492,0.9958
1.493,0.9958
1.494,0.9958
1.495,0.9958
1.496,0.9958
1.497,0.9958
1.498,0.9958
1.499,0.9958
1.5,0.9958
1.501,0.9958
1.502,0.9958
1.503,0.9958
1.504,0.9958
1.505,0.9958
1.506,0.9958
1.507,0.9958
1.508,0.9958
1.509,0.9958
1.51,0.9958
1.511,0.9958
1.512,0.9958
1.513,0.9958
1.514,0.9958
1.515,0.9958
1.516,0.9958
1.517,0.9958
1.518,0.9958
1.519,0.9958
1.52,0.9958
1.521,0.9958
1.522,0.9958
1.523,0.9958
1.524,0.9958
1.525,0.9958
1.526,0.9958
1.527,0.9958
1.528,0.9958
1.529,0.9958
1.53,0.9958
1.531,0.9958019
1.532,0.9958072
1.533,0.9958153
1.534,0.9958256
1.535,0.9958375
1.536,0.9958504
1.537,0.9958637
1.538,0.9958768
1.539,0.9958891
1.54,0.9959
1.541,0.99591
1.542,0.99592
1.543,0.99593
1.544,0.99594
1.545,0.99595
1.546,0.99596
1.547,0.99597
1.548,0.99598
1.549,0.99599
1.55,0.996
1.551,0.99601
1.552,0.99602
1.553,0.99603
1.554,0.99604
1.555,0.99605
1.556,0.99606
1.557,0.99607
1.558,0.99608
1.559,0.99609
1.56,0.9961
1.561,0.99611
1.562,0.99612
1.563,0.99613
1.564,0.99614
1.565,0.99615
1.566,0.99616
1.567,0.99617
1.568,0.99618
1.569,0.99619
1.57,0.9962
1.571,0.99621
1.572,0.99622
1.573,0.99623
1.574,0.99624
1.575,0.99625
1.576,0.99626
1.577,0.99627
1.578,0.99628
1.579,0.99629
1.58,0.9963
1.581,0.99631
1.582,0.99632
1.583,0.99633
1.584,0.99634
1.585,0.99635
1.586,0.99636
1.587,0.99637
1.588,0.99638
1.589,0.99639
1.59,0.9964
1.591,0.99641
1.592,0.99642
1.593,0.99643
1.594,0.99644
1.595,0.99645
1.596,0.99646
1.597,0.99647
1.598,0.99648
1.599,0.99649
1.6,0.9965
1.601,0.9965109
1.602,0.9965232
1.603,0.9965363
1.604,0.9965496
1.605,0.9965625
1.606,0.9965744
1.607,0.9965847
1.608,0.9965928
1.609,0.9965981
1.61,0.9966
1.611,0.9966
1.612,0.9966
1.613,0.9966
1.614,0.9966
1.615,0.9966
1.616,0.9966
1.617,0.9966
1.618,0.9966
1.619,0.9966
1.62,0.9966
1.621,0.9966028
1.622,0.9966104
1.623,0.9966216
1.624,0.9966352
1.625,0.99665
1.626,0.9966648
1.627,0.9966784
1.628,0.9966896
1.629,0.9966972
1.63,0.9967
1.631,0.9967
1.632,0.9967
1.633,0.9967
1.634,0.9967
1.635,0.9967
1.636,0.9967
1.637,0.9967
1.638,0.9967
1.639,0.9967
1.64,0.9967
1.641,0.9967
1.642,0.9967
1.643,0.9967
1.644,0.9967
1.645,0.9967
1.646,0.9967
1.647,0.9967
1.648,0.9967
1.649,0.9967
1.65,0.9967
1.651,0.9967
1.652,0.9967
1.653,0.9967
1.654,0.9967
1.655,0.9967
1.656,0.9967
1.657,0.9967
1.658,0.9967
1.659,0.9967
1.66,0.9967
1.661,0.9967
1.662,0.9967
1.663,0.9967
1.664,0.9967
1.665,0.9967
1.666,0.9967
1.667,0.9967
1.668,0.9967
1.669,0.9967
1.67,0.9967
1.671,0.9967
1.672,0.9967
1.673,0.9967
1.674,0.9967
1.675,0.9967
1.676,0.9967
1.677,0.9967
1.678,0.9967
1.679,0.9967
1.68,0.9967
1.681,0.9967
1.682,0.9967
1.683,0.9967
1.684,0.9967
1.685,0.9967
1.686,0.9967
1.687,0.9967
1.688,0.9967
1.689,0.9967
1.69,0.9967
1.691,0.9967
1.692,0.9967
1.693,0.9967
1.694,0.9967
1.695,0.9967
1.696,0.9967
1.697,0.9967
1.698,0.9967
1.699,0.9967
1.7,0.9967
1.701,0.9967019
1.702,0.9967072
1.703,0.9967153
1.704,0.9967256
1.705,0.9967375
1.706,0.9967504
1.707,0.9967637
1.708,0.9967768
1.709,0.9967891
1.71,0.9968
1.711,0.9968109
1.712,0.9968232
1.713,0.9968363
1.714,0.9968496
1.715,0.9968625
1.716,0.9968744
1.717,0.9968847
1.718,0.9968928
1.719,0.9968981
1.72,0.9969
1.721,0.9969
1.722,0.9969
1.723,0.9969
1.724,0.9969
1.725,0.9969
1.726,0.9969
1.727,0.9969
1.728,0.9969
1.729,0.9969
1.73,0.9969
1.731,0.9969028
1.732,0.9969104
1.733,0.9969216
1.734,0.9969352
1.735,0.99695
1.736,0.9969648
1.737,0.9969784
1.738,0.9969896
1.739,0.9969972
1.74,0.997
1.741,0.997
1.742,0.997
1.743,0.997
1.744,0.997
1.745,0.997
1.746,0.997
1.747,0.997
1.748,0.997
1.749,0.997
1.75,0.997
1.751,0.9970019
1.752,0.9970072
1.753,0.9970153
1.754,0.9970256
1.755,0.9970375
1.756,0.9970504
1.757,0.9970637
1.758,0.9970768
1.759,0.9970891
1.76,0.9971
1.761,0.99711
1.762,0.99712
1.763,0.99713
1.764,0.99714
1.765,0.99715
1.766,0.99716
1.767,0.99717
1.768,0.99718
1.769,0.99719
1.77,0.9972
1.771,0.99721
1.772,0.99722
1.773,0.99723
1.774,0.99724
1.775,0.99725
1.776,0.99726
1.777,0.99727
1.778,0.99728
1.779,0.99729
1.78,0.9973
1.781,0.99731
1.782,0.99732
1.783,0.99733
1.784,0.99734
1.785,0.99735
1.786,0.99736
1.787,0.99737
1.788,0.99738
1.789,0.99739
1.79,0.9974
1.791,0.99741
1.792,0.99742
1.793,0.99743
1.794,0.99744
1.795,0.99745
1.796,0.99746
1.797,0.99747
1.798,0.99748
1.799,0.99749
1.8,0.9975
1.801,0.9975109
1.802,0.9975232
1.803,0.9975363
1.804,0.9975496
1.805,0.9975625
1.806,0.9975744
1.807,0.9975847
1.808,0.9975928
1.809,0.9975981
1.81,0.9976
1.811,0.9976
1.812,0.9976
1.813,0.9976
1.814,0.9976
1.815,0.9976
1.816,0.9976
1.817,0.9976
1.818,0.9976
1.819,0.9976
1.82,0.9976
1.821,0.9976
1.822,0.9976
1.823,0.9976
1.824,0.9976
1.825,0.9976
1.826,0.9976
1.827,0.9976
1.828,0.9976
1.829,0.9976
1.83,0.9976
1.831,0.9976
1.832,0.9976
1.833,0.9976
1.834,0.9976
1.835,0.9976
1.836,0.9976
1.837,0.9976
1.838,0.9976
1.839,0.9976
1.84,0.9976
1.841,0.9976
1.842,0.9976
1.843,0.9976
1.844,0.9976
1.845,0.9976
1.846,0.9976
1.847,0.9976
1.848,0.9976
1.849,0.9976
1.85,0.9976
1.851,0.9976
1.852,0.9976
1.853,0.9976
1.854,0.9976
1.855,0.9976
1.856,0.9976
1.857,0.9976
1.858,0.9976
1.859,0.9976
1.86,0.9976
1.861,0.9976
1.862,0.9976
1.863,0.9976
1.864,0.9976
1.865,0.9976
1.866,0.9976
1.867,0.9976
1.868,0.9976
1.869,0.9976
1.87,0.9976
1.871,0.9976019
1.872,0.9976072
1.873,0.9976153
1.874,0.9976256
1.875,0.9976375
1.876,0.9976504
1.877,0.9976637
1.878,0.9976768
1.879,0.9976891
1.88,0.9977
1.881,0.9977109
1.882,0.9977232
1.883,0.9977363
1.884,0.9977496
1.885,0.9977625
1.886,0.9977744
1.887,0.9977847
1.888,0.9977928
1.889,0.9977981
1.89,0.9978
1.891,0.9978
1.892,0.9978
1.893,0.9978
1.894,0.9978
1.895,0.9978
1.896,0.9978
1.897,0.9978
1.898,0.9978
1.899,0.9978
1.9,0.9978
1.901,0.9978028
1.902,0.9978104
1.903,0.9978216
1.904,0.9978352
1.905,0.99785
1.906,0.9978648
1.907,0.9978784
1.908,0.9978896
1.909,0.9978972
1.91,0.9979
1.911,0.9978972
1.912,0.9978896
1.913,0.9978784
1.914,0.9978648
1.915,0.99785
1.916,0.9978352
1.917,0.9978216
1.918,0.9978104
1.919,0.9978028
1.92,0.9978
1.921,0.9978
1.922,0.9978
1.923,0.9978
1.924,0.9978
1.925,0.9978
1.926,0.9978
1.927,0.9978
1.928,0.9978
1.929,0.9978
1.93,0.9978
1.931,0.9977972
1.932,0.9977896
1.933,0.9977784
1.934,0.9977648
1.935,0.99775
1.936,0.9977352
1.937,0.9977216
1.938,0.9977104
1.939,0.9977028
1.94,0.9977
1.941,0.9977
1.942,0.9977
1.943,0.9977
1.944,0.9977
1.945,0.9977
1.946,0.9977
1.947,0.9977
1.948,0.9977
1.949,0.9977
1.95,0.9977
1.951,0.9976972
1.952,0.9976896
1.953,0.9976784
1.954,0.9976648
1.955,0.99765
1.956,0.9976352
1.957,0.9976216
1.958,0.9976104
1.959,0.9976028
1.96,0.9976
1.961,0.9976028
1.962,0.9976104
1.963,0.9976216
1.964,0.9976352
1.965,0.99765
1.966,0.9976648
1.967,0.9976784
1.968,0.9976896
1.969,0.9976972
1.97,0.9977
1.971,0.9977
1.972,0.9977
1.973,0.9977
1.974,0.9977
1.975,0.9977
1.976,0.9977
1.977,0.9977
1.978,0.9977
1.979,0.9977
1.98,0.9977
1.981,0.9977019
1.982,0.9977072
1.983,0.9977153
1.984,0.9977256
1.985,0.9977375
1.986,0.9977504
1.987,0.9977637
1.988,0.9977768
1.989,0.9977891
1.99,0.9978
1.991,0.9978109
1.992,0.9978232
1.993,0.9978363
1.994,0.9978496
1.995,0.9978625
1.996,0.9978744
1.997,0.9978847
1.998,0.9978928
1.999,0.9978981
2,0.9979
2.001,0.9979
2.002,0.9979
2.003,0.9979
2.004,0.9979
2.005,0.9979
2.006,0.9979
2.007,0.9979
2.008,0.9979
2.009,0.9979
2.01,0.9979
2.011,0.9979
2.012,0.9979
2.013,0.9979
2.014,0.9979
2.015,0.9979
2.016,0.9979
2.017,0.9979
2.018,0.9979
2.019,0.9979
2.02,0.9979
2.021,0.9979
2.022,0.9979
2.023,0.9979
2.024,0.9979
2.025,0.9979
2.026,0.9979
2.027,0.9979
2.028,0.9979
2.029,0.9979
2.03,0.9979
2.031,0.9979
2.032,0.9979
2.033,0.9979
2.034,0.9979
2.035,0.9979
2.036,0.9979
2.037,0.9979
2.038,0.9979
2.039,0.9979
2.04,0.9979
2.041,0.9979
2.042,0.9979
2.043,0.9979
2.044,0.9979
2.045,0.9979
2.046,0.9979
2.047,0.9979
2.048,0.9979
2.049,0.9979
2.05,0.9979
2.051,0.9979
2.052,0.9979
2.053,0.9979
2.054,0.9979
2.055,0.9979
2.056,0.9979
2.057,0.9979
2.058,0.9979
2.059,0.9979
2.06,0.9979
2.061,0.9979028
2.062,0.9979104
2.063,0.9979216
2.064,0.9979352
2.065,0.99795
2.066,0.9979648
2.067,0.9979784
2.068,0.9979896
2.069,0.9979972
2.07,0.998
2.071,0.998
2.072,0.998
2.073,0.998
2.074,0.998
2.075,0.998
2.076,0.998
2.077,0.998
2.078,0.998
2.079,0.998
2.08,0.998
2.081,0.9980028
2.082,0.9980104
2.083,0.9980216
2.084,0.9980352
2.085,0.99805
2.086,0.9980648
2.087,0.9980784
2.088,0.9980896
2.089,0.9980972
2.09,0.9981
2.091,0.9981
2.092,0.9981
2.093,0.9981
2.094,0.9981
2.095,0.9981
2.096,0.9981
2.097,0.9981
2.098,0.9981
2.099,0.9981
2.1,0.9981
2.101,0.9981028
2.102,0.9981104
2.103,0.9981216
2.104,0.9981352
2.105,0.99815
2.106,0.9981648
2.107,0.9981784
2.108,0.9981896
2.109,0.9981972
2.11,0.9982
2.111,0.9982
2.112,0.9982
2.113,0.9982
2.114,0.9982
2.115,0.9982
2.116,0.9982
2.117,0.9982
2.118,0.9982
2.119,0.9982
2.12,0.9982
2.121,0.9982
2.122,0.9982
2.123,0.9982
2.124,0.9982
2.125,0.9982
2.126,0.9982
2.127,0.9982
2.128,0.9982
2.129,0.9982
2.13,0.9982
2.131,0.9982
2.132,0.9982
2.133,0.9982
2.134,0.9982
2.135,0.9982
2.136,0.9982
2.137,0.9982
2.138,0.9982
2.139,0.9982
2.14,0.9982
2.141,0.9982
2.142,0.9982
2.143,0.9982
2.144,0.9982
2.145,0.9982
2.146,0.9982
2.147,0.9982
2.148,0.9982
2.149,0.9982
2.15,0.9982
2.151,0.9982
2.152,0.9982
2.153,0.9982
2.154,0.9982
2.155,0.9982
2.156,0.9982
2.157,0.9982
2.158,0.9982
2.159,0.9982
2.16,0.9982
2.161,0.9982
2.162,0.9982
2.163,0.9982
2.164,0.9982
2.165,0.9982
2.166,0.9982
2.167,0.9982
2.168,0.9982
2.169,0.9982
2.17,0.9982
2.171,0.9982028
2.172,0.9982104
2.173,0.9982216
2.174,0.9982352
2.175,0.99825
2.176,0.9982648
2.177,0.9982784
2.178,0.9982896
2.179,0.9982972
2.18,0.9983
2.181,0.9983
2.182,0.9983
2.183,0.9983
2.184,0.9983
2.185,0.9983
2.186,0.9983
2.187,0.9983
2.188,0.9983
2.189,0.9983
2.19,0.9983
2.191,0.9983028
