Wavelength,DM + window
0.9,0.904219475
0.901,0.904219475
0.902,0.904270847
0.903,0.904323345
0.904,0.904376921
0.905,0.904431529
0.906,0.904487121
0.907,0.904543651
0.908,0.904601071
0.909,0.904659336
0.91,0.904718398
0.911,0.90477821
0.912,0.904839334
0.913,0.904902163
0.914,0.904966396
0.915,0.905031732
0.916,0.905097871
0.917,0.905164511
0.918,0.905231351
0.919,0.905298091
0.92,0.90536443
0.921,0.905430068
0.922,0.905495705
0.923,0.905562044
0.924,0.905628784
0.925,0.905695624
0.926,0.905762264
0.927,0.905828403
0.928,0.905893739
0.929,0.905957972
0.93,0.906020801
0.931,0.906081925
0.932,0.90614128
0.933,0.906199173
0.934,0.906255864
0.935,0.906311608
0.936,0.906366665
0.937,0.906421292
0.938,0.906475747
0.939,0.906530288
0.94,0.906585173
0.941,0.90664066
0.942,0.906696534
0.943,0.906752407
0.944,0.906808281
0.945,0.906864154
0.946,0.906920028
0.947,0.906975901
0.948,0.907031775
0.949,0.907087648
0.95,0.907143522
0.951,0.907199395
0.952,0.907254882
0.953,0.907309767
0.954,0.907364308
0.955,0.907418763
0.956,0.90747339
0.957,0.907528447
0.958,0.907584191
0.959,0.907640882
0.96,0.907698775
0.961,0.90775813
0.962,0.907819705
0.963,0.907883688
0.964,0.907949475
0.965,0.908016466
0.966,0.908084059
0.967,0.908151651
0.968,0.908218642
0.969,0.90828443
0.97,0.908348412
0.971,0.908409988
0.972,0.908470348
0.973,0.908530812
0.974,0.908590966
0.975,0.908650398
0.976,0.908708696
0.977,0.908765446
0.978,0.908820237
0.979,0.908872654
0.98,0.908922287
0.981,0.908968723
0.982,0.909012485
0.983,0.909054459
0.984,0.909094773
0.985,0.909133555
0.986,0.909170931
0.987,0.909207031
0.988,0.909241981
0.989,0.90927591
0.99,0.909308944
0.991,0.909341213
0.992,0.909374896
0.993,0.909411134
0.994,0.90944849
0.995,0.909485526
0.996,0.909520806
0.997,0.909552893
0.998,0.909580351
0.999,0.909601743
1,0.909615631
1.001,0.90962058
1.002,0.90962058
1.003,0.90962058
1.004,0.90962058
1.005,0.90962058
1.006,0.90962058
1.007,0.90962058
1.008,0.90962058
1.009,0.90962058
1.01,0.90962058
1.011,0.90962058
1.012,0.90962058
1.013,0.90962058
1.014,0.90962058
1.015,0.90962058
1.016,0.90962058
1.017,0.90962058
1.018,0.90962058
1.019,0.90962058
1.02,0.90962058
1.021,0.90962058
1.022,0.909623187
1.023,0.909630265
1.024,0.909640694
1.025,0.909653359
1.026,0.909667141
1.027,0.909680923
1.028,0.909693588
1.029,0.909704018
1.03,0.909711095
1.031,0.909713703
1.032,0.909713703
1.033,0.909713703
1.034,0.909713703
1.035,0.909713703
1.036,0.909713703
1.037,0.909713703
1.038,0.909713703
1.039,0.909713703
1.04,0.909713703
1.041,0.909713703
1.042,0.909713703
1.043,0.909713703
1.044,0.909713703
1.045,0.909713703
1.046,0.909713703
1.047,0.909713703
1.048,0.909713703
1.049,0.909713703
1.05,0.909713703
1.051,0.909713703
1.052,0.90971631
1.053,0.909723387
1.054,0.909733817
1.055,0.909746482
1.056,0.909760264
1.057,0.909774046
1.058,0.909786711
1.059,0.90979714
1.06,0.909804218
1.061,0.909806825
1.062,0.909806825
1.063,0.909806825
1.064,0.909806825
1.065,0.909806825
1.066,0.909806825
1.067,0.909806825
1.068,0.909806825
1.069,0.909806825
1.07,0.909806825
1.071,0.909806825
1.072,0.909806825
1.073,0.909806825
1.074,0.909806825
1.075,0.909806825
1.076,0.909806825
1.077,0.909806825
1.078,0.909806825
1.079,0.909806825
1.08,0.909806825
1.081,0.909806825
1.082,0.909806825
1.083,0.909806825
1.084,0.909806825
1.085,0.909806825
1.086,0.909806825
1.087,0.909806825
1.088,0.909806825
1.089,0.909806825
1.09,0.909806825
1.091,0.909806825
1.092,0.909806825
1.093,0.909806825
1.094,0.909806825
1.095,0.909806825
1.096,0.909806825
1.097,0.909806825
1.098,0.909806825
1.099,0.909806825
1.1,0.909806825
1.101,0.909806825
1.102,0.909806825
1.103,0.909806825
1.104,0.909806825
1.105,0.909806825
1.106,0.909806825
1.107,0.909806825
1.108,0.909806825
1.109,0.909806825
1.11,0.909806825
1.111,0.909806825
1.112,0.909809432
1.113,0.90981651
1.114,0.909826939
1.115,0.909839604
1.116,0.909853386
1.117,0.909867168
1.118,0.909879833
1.119,0.909890263
1.12,0.90989734
1.121,0.909899948
1.122,0.909899948
1.123,0.909899948
1.124,0.909899948
1.125,0.909899948
1.126,0.909899948
1.127,0.909899948
1.128,0.909899948
1.129,0.909899948
1.13,0.909899948
1.131,0.909899948
1.132,0.909899948
1.133,0.909899948
1.134,0.909899948
1.135,0.909899948
1.136,0.909899948
1.137,0.909899948
1.138,0.909899948
1.139,0.909899948
1.14,0.909899948
1.141,0.909899948
1.142,0.909899948
1.143,0.909899948
1.144,0.909899948
1.145,0.909899948
1.146,0.909899948
1.147,0.909899948
1.148,0.909899948
1.149,0.909899948
1.15,0.909899948
1.151,0.909899948
1.152,0.909902555
1.153,0.909909632
1.154,0.909920062
1.155,0.909932727
1.156,0.909946509
1.157,0.909960291
1.158,0.909972956
1.159,0.909983385
1.16,0.909990463
1.161,0.90999307
1.162,0.90999307
1.163,0.90999307
1.164,0.90999307
1.165,0.90999307
1.166,0.90999307
1.167,0.90999307
1.168,0.90999307
1.169,0.90999307
1.17,0.90999307
1.171,0.90999307
1.172,0.909995677
1.173,0.910002755
1.174,0.910013184
1.175,0.910025849
1.176,0.910039631
1.177,0.910053413
1.178,0.910066078
1.179,0.910076508
1.18,0.910083585
1.181,0.910086193
1.182,0.910086193
1.183,0.910086193
1.184,0.910086193
1.185,0.910086193
1.186,0.910086193
1.187,0.910086193
1.188,0.910086193
1.189,0.910086193
1.19,0.910086193
1.191,0.910086193
1.192,0.910087962
1.193,0.910092897
1.194,0.91010044
1.195,0.910110032
1.196,0.910121113
1.197,0.910133126
1.198,0.910145512
1.199,0.910157711
1.2,0.910169165
1.201,0.910179315
1.202,0.910189465
1.203,0.910200919
1.204,0.910213118
1.205,0.910225504
1.206,0.910237517
1.207,0.910248598
1.208,0.91025819
1.209,0.910265733
1.21,0.910270668
1.211,0.910272438
1.212,0.910272438
1.213,0.910272438
1.214,0.910272438
1.215,0.910272438
1.216,0.910272438
1.217,0.910272438
1.218,0.910272438
1.219,0.910272438
1.22,0.910272438
1.221,0.910272438
1.222,0.910272438
1.223,0.910272438
1.224,0.910272438
1.225,0.910272438
1.226,0.910272438
1.227,0.910272438
1.228,0.910272438
1.229,0.910272438
1.23,0.910272438
1.231,0.910272438
1.232,0.910275045
1.233,0.910282122
1.234,0.910292552
1.235,0.910305217
1.236,0.910318999
1.237,0.910332781
1.238,0.910345446
1.239,0.910355875
1.24,0.910362953
1.241,0.91036556
1.242,0.91036556
1.243,0.91036556
1.244,0.91036556
1.245,0.91036556
1.246,0.91036556
1.247,0.91036556
1.248,0.91036556
1.249,0.91036556
1.25,0.91036556
1.251,0.91036556
1.252,0.910368167
1.253,0.910375245
1.254,0.910385674
1.255,0.910398339
1.256,0.910412121
1.257,0.910425903
1.258,0.910438568
1.259,0.910448998
1.26,0.910456075
1.261,0.910458683
1.262,0.910458683
1.263,0.910458683
1.264,0.910458683
1.265,0.910458683
1.266,0.910458683
1.267,0.910458683
1.268,0.910458683
1.269,0.910458683
1.27,0.910458683
1.271,0.910458683
1.272,0.91046129
1.273,0.910468367
1.274,0.910478797
1.275,0.910491462
1.276,0.910505244
1.277,0.910519026
1.278,0.910531691
1.279,0.91054212
1.28,0.910549198
1.281,0.910551805
1.282,0.910551805
1.283,0.910551805
1.284,0.910551805
1.285,0.910551805
1.286,0.910551805
1.287,0.910551805
1.288,0.910551805
1.289,0.910551805
1.29,0.910551805
1.291,0.910551805
1.292,0.910554412
1.293,0.91056149
1.294,0.910571919
1.295,0.910584584
1.296,0.910598366
1.297,0.910612148
1.298,0.910624813
1.299,0.910635243
1.3,0.91064232
1.301,0.910644928
1.302,0.910644928
1.303,0.910644928
1.304,0.910644928
1.305,0.910644928
1.306,0.910644928
1.307,0.910644928
1.308,0.910644928
1.309,0.910644928
1.31,0.910644928
1.311,0.910644928
1.312,0.910644928
1.313,0.910644928
1.314,0.910644928
1.315,0.910644928
1.316,0.910644928
1.317,0.910644928
1.318,0.910644928
1.319,0.910644928
1.32,0.910644928
1.321,0.910644928
1.322,0.910646697
1.323,0.910651632
1.324,0.910659175
1.325,0.910668767
1.326,0.910679848
1.327,0.910691861
1.328,0.910704247
1.329,0.910716446
1.33,0.9107279
1.331,0.91073805
1.332,0.910747362
1.333,0.910756675
1.334,0.910765987
1.335,0.910775299
1.336,0.910784611
1.337,0.910793924
1.338,0.910803236
1.339,0.910812548
1.34,0.91082186
1.341,0.910831173
1.342,0.910840485
1.343,0.910849797
1.344,0.910859109
1.345,0.910868422
1.346,0.910877734
1.347,0.910887046
1.348,0.910896358
1.349,0.910905671
1.35,0.910914983
1.351,0.910924295
1.352,0.910934445
1.353,0.910945899
1.354,0.910958098
1.355,0.910970484
1.356,0.910982497
1.357,0.910993578
1.358,0.91100317
1.359,0.911010713
1.36,0.911015648
1.361,0.911017418
1.362,0.911017418
1.363,0.911017418
1.364,0.911017418
1.365,0.911017418
1.366,0.911017418
1.367,0.911017418
1.368,0.911017418
1.369,0.911017418
1.37,0.911017418
1.371,0.911017418
1.372,0.911020025
1.373,0.911027102
1.374,0.911037532
1.375,0.911050197
1.376,0.911063979
1.377,0.911077761
1.378,0.911090426
1.379,0.911100855
1.38,0.911107933
1.381,0.91111054
1.382,0.91111054
1.383,0.91111054
1.384,0.91111054
1.385,0.91111054
1.386,0.91111054
1.387,0.91111054
1.388,0.91111054
1.389,0.91111054
1.39,0.91111054
1.391,0.91111054
1.392,0.911113147
1.393,0.911120225
1.394,0.911130654
1.395,0.911143319
1.396,0.911157101
1.397,0.911170883
1.398,0.911183548
1.399,0.911193978
1.4,0.911201055
1.401,0.911203663
1.402,0.911203663
1.403,0.911203663
1.404,0.911203663
1.405,0.911203663
1.406,0.911203663
1.407,0.911203663
1.408,0.911203663
1.409,0.911203663
1.41,0.911203663
1.411,0.911203663
1.412,0.91120627
1.413,0.911213347
1.414,0.911223777
1.415,0.911236442
1.416,0.911250224
1.417,0.911264006
1.418,0.911276671
1.419,0.9112871
1.42,0.911294178
1.421,0.911296785
1.422,0.911296785
1.423,0.911296785
1.424,0.911296785
1.425,0.911296785
1.426,0.911296785
1.427,0.911296785
1.428,0.911296785
1.429,0.911296785
1.43,0.911296785
1.431,0.911296785
1.432,0.911299392
1.433,0.91130647
1.434,0.911316899
1.435,0.911329564
1.436,0.911343346
1.437,0.911357128
1.438,0.911369793
1.439,0.911380223
1.44,0.9113873
1.441,0.911389908
1.442,0.911389908
1.443,0.911389908
1.444,0.911389908
1.445,0.911389908
1.446,0.911389908
1.447,0.911389908
1.448,0.911389908
1.449,0.911389908
1.45,0.911389908
1.451,0.911389908
1.452,0.911391677
1.453,0.911396612
1.454,0.911404155
1.455,0.911413747
1.456,0.911424828
1.457,0.911436841
1.458,0.911449227
1.459,0.911461426
1.46,0.91147288
1.461,0.91148303
1.462,0.911492342
1.463,0.911501655
1.464,0.911510967
1.465,0.911520279
1.466,0.911529591
1.467,0.911538904
1.468,0.911548216
1.469,0.911557528
1.47,0.91156684
1.471,0.911576153
1.472,0.911586303
1.473,0.911597757
1.474,0.911609956
1.475,0.911622341
1.476,0.911634354
1.477,0.911645436
1.478,0.911655027
1.479,0.91166257
1.48,0.911667506
1.481,0.911669275
1.482,0.911669275
1.483,0.911669275
1.484,0.911669275
1.485,0.911669275
1.486,0.911669275
1.487,0.911669275
1.488,0.911669275
1.489,0.911669275
1.49,0.911669275
1.491,0.911669275
1.492,0.911671044
1.493,0.91167598
1.494,0.911683523
1.495,0.911693114
1.496,0.911704196
1.497,0.911716209
1.498,0.911728594
1.499,0.911740793
1.5,0.911752247
1.501,0.911762398
1.502,0.91177171
1.503,0.911781022
1.504,0.911790334
1.505,0.911799647
1.506,0.911808959
1.507,0.911818271
1.508,0.911827583
1.509,0.911836896
1.51,0.911846208
1.511,0.91185552
1.512,0.911864832
1.513,0.911874145
1.514,0.911883457
1.515,0.911892769
1.516,0.911902081
1.517,0.911911394
1.518,0.911920706
1.519,0.911930018
1.52,0.91193933
1.521,0.911948643
1.522,0.911958793
1.523,0.911970247
1.524,0.911982446
1.525,0.911994831
1.526,0.912006844
1.527,0.912017926
1.528,0.912027517
1.529,0.91203506
1.53,0.912039996
1.531,0.912041765
1.532,0.912041765
1.533,0.912041765
1.534,0.912041765
1.535,0.912041765
1.536,0.912041765
1.537,0.912041765
1.538,0.912041765
1.539,0.912041765
1.54,0.912041765
1.541,0.912041765
1.542,0.912044372
1.543,0.91205145
1.544,0.912061879
1.545,0.912074544
1.546,0.912088326
1.547,0.912102108
1.548,0.912114773
1.549,0.912125203
1.55,0.91213228
1.551,0.912134888
1.552,0.912134888
1.553,0.912134888
1.554,0.912134888
1.555,0.912134888
1.556,0.912134888
1.557,0.912134888
1.558,0.912134888
1.559,0.912134888
1.56,0.912134888
1.561,0.912134888
1.562,0.912137495
1.563,0.912144572
1.564,0.912155002
1.565,0.912167667
1.566,0.912181449
1.567,0.912195231
1.568,0.912207896
1.569,0.912218325
1.57,0.912225403
1.571,0.91222801
1.572,0.91222801
1.573,0.91222801
1.574,0.91222801
1.575,0.91222801
1.576,0.91222801
1.577,0.91222801
1.578,0.91222801
1.579,0.91222801
1.58,0.91222801
1.581,0.91222801
1.582,0.91222801
1.583,0.91222801
1.584,0.91222801
1.585,0.91222801
1.586,0.91222801
1.587,0.91222801
1.588,0.91222801
1.589,0.91222801
1.59,0.91222801
1.591,0.91222801
1.592,0.912230617
1.593,0.912237695
1.594,0.912248124
1.595,0.912260789
1.596,0.912274571
1.597,0.912288353
1.598,0.912301018
1.599,0.912311448
1.6,0.912318525
1.601,0.912321133
1.602,0.912321133
1.603,0.912321133
1.604,0.912321133
1.605,0.912321133
1.606,0.912321133
1.607,0.912321133
1.608,0.912321133
1.609,0.912321133
1.61,0.912321133
1.611,0.912321133
1.612,0.912322902
1.613,0.912327837
1.614,0.91233538
1.615,0.912344972
1.616,0.912356053
1.617,0.912368066
1.618,0.912380452
1.619,0.912392651
1.62,0.912404105
1.621,0.912414255
1.622,0.912424405
1.623,0.912435859
1.624,0.912448058
1.625,0.912460444
1.626,0.912472457
1.627,0.912483538
1.628,0.91249313
1.629,0.912500673
1.63,0.912505608
1.631,0.912507378
1.632,0.912507378
1.633,0.912507378
1.634,0.912507378
1.635,0.912507378
1.636,0.912507378
1.637,0.912507378
1.638,0.912507378
1.639,0.912507378
1.64,0.912507378
1.641,0.912507378
1.642,0.912509147
1.643,0.912514082
1.644,0.912521625
1.645,0.912531217
1.646,0.912542298
1.647,0.912554311
1.648,0.912566697
1.649,0.912578896
1.65,0.91259035
1.651,0.9126005
1.652,0.912609812
1.653,0.912619125
1.654,0.912628437
1.655,0.912637749
1.656,0.912647061
1.657,0.912656374
1.658,0.912665686
1.659,0.912674998
1.66,0.91268431
1.661,0.912693623
1.662,0.912702935
1.663,0.912712247
1.664,0.912721559
1.665,0.912730872
1.666,0.912740184
1.667,0.912749496
1.668,0.912758808
1.669,0.912768121
1.67,0.912777433
1.671,0.912786745
1.672,0.912796057
1.673,0.91280537
1.674,0.912814682
1.675,0.912823994
1.676,0.912833306
1.677,0.912842619
1.678,0.912851931
1.679,0.912861243
1.68,0.912870555
1.681,0.912879868
1.682,0.91288918
1.683,0.912898492
1.684,0.912907804
1.685,0.912917117
1.686,0.912926429
1.687,0.912935741
1.688,0.912945053
1.689,0.912954366
1.69,0.912963678
1.691,0.91297299
1.692,0.91298314
1.693,0.912994594
1.694,0.913006793
1.695,0.913019179
1.696,0.913031192
1.697,0.913042273
1.698,0.913051865
1.699,0.913059408
1.7,0.913064343
1.701,0.913066113
1.702,0.913066113
1.703,0.913066113
1.704,0.913066113
1.705,0.913066113
1.706,0.913066113
1.707,0.913066113
1.708,0.913066113
1.709,0.913066113
1.71,0.913066113
1.711,0.913066113
1.712,0.91306872
1.713,0.913075797
1.714,0.913086227
1.715,0.913098892
1.716,0.913112674
1.717,0.913126456
1.718,0.913139121
1.719,0.91314955
1.72,0.913156628
1.721,0.913159235
1.722,0.913159235
1.723,0.913159235
1.724,0.913159235
1.725,0.913159235
1.726,0.913159235
1.727,0.913159235
1.728,0.913159235
1.729,0.913159235
1.73,0.913159235
1.731,0.913159235
1.732,0.913161004
1.733,0.91316594
1.734,0.913173483
1.735,0.913183074
1.736,0.913194156
1.737,0.913206169
1.738,0.913218554
1.739,0.913230753
1.74,0.913242207
1.741,0.913252358
1.742,0.913262508
1.743,0.913273962
1.744,0.913286161
1.745,0.913298546
1.746,0.913310559
1.747,0.913321641
1.748,0.913331232
1.749,0.913338775
1.75,0.913343711
1.751,0.91334548
1.752,0.91334548
1.753,0.91334548
1.754,0.91334548
1.755,0.91334548
1.756,0.91334548
1.757,0.91334548
1.758,0.91334548
1.759,0.91334548
1.76,0.91334548
1.761,0.91334548
1.762,0.91334548
1.763,0.91334548
1.764,0.91334548
1.765,0.91334548
1.766,0.91334548
1.767,0.91334548
1.768,0.91334548
1.769,0.91334548
1.77,0.91334548
1.771,0.91334548
1.772,0.913348087
1.773,0.913355165
1.774,0.913365594
1.775,0.913378259
1.776,0.913392041
1.777,0.913405823
1.778,0.913418488
1.779,0.913428918
1.78,0.913435995
1.781,0.913438603
1.782,0.913438603
1.783,0.913438603
1.784,0.913438603
1.785,0.913438603
1.786,0.913438603
1.787,0.913438603
1.788,0.913438603
1.789,0.913438603
1.79,0.913438603
1.791,0.913438603
1.792,0.913438603
1.793,0.913438603
1.794,0.913438603
1.795,0.913438603
1.796,0.913438603
1.797,0.913438603
1.798,0.913438603
1.799,0.913438603
1.8,0.913438603
1.801,0.913438603
1.802,0.91344121
1.803,0.913448287
1.804,0.913458717
1.805,0.913471382
1.806,0.913485164
1.807,0.913498946
1.808,0.913511611
1.809,0.91352204
1.81,0.913529118
1.811,0.913531725
1.812,0.913531725
1.813,0.913531725
1.814,0.913531725
1.815,0.913531725
1.816,0.913531725
1.817,0.913531725
1.818,0.913531725
1.819,0.913531725
1.82,0.913531725
1.821,0.913531725
1.822,0.913533494
1.823,0.91353843
1.824,0.913545973
1.825,0.913555564
1.826,0.913566646
1.827,0.913578659
1.828,0.913591044
1.829,0.913603243
1.83,0.913614697
1.831,0.913624848
1.832,0.913634998
1.833,0.913646452
1.834,0.913658651
1.835,0.913671036
1.836,0.913683049
1.837,0.913694131
1.838,0.913703722
1.839,0.913711265
1.84,0.913716201
1.841,0.91371797
1.842,0.91371797
1.843,0.91371797
1.844,0.91371797
1.845,0.91371797
1.846,0.91371797
1.847,0.91371797
1.848,0.91371797
1.849,0.91371797
1.85,0.91371797
1.851,0.91371797
1.852,0.913720577
1.853,0.913727655
1.854,0.913738084
1.855,0.913750749
1.856,0.913764531
1.857,0.913778313
1.858,0.913790978
1.859,0.913801408
1.86,0.913808485
1.861,0.913811093
1.862,0.913811093
1.863,0.913811093
1.864,0.913811093
1.865,0.913811093
1.866,0.913811093
1.867,0.913811093
1.868,0.913811093
1.869,0.913811093
1.87,0.913811093
1.871,0.913811093
1.872,0.9138137
1.873,0.913820777
1.874,0.913831207
1.875,0.913843872
1.876,0.913857654
1.877,0.913871436
1.878,0.913884101
1.879,0.91389453
1.88,0.913901608
1.881,0.913904215
1.882,0.913904215
1.883,0.913904215
1.884,0.913904215
1.885,0.913904215
1.886,0.913904215
1.887,0.913904215
1.888,0.913904215
1.889,0.913904215
1.89,0.913904215
1.891,0.913904215
1.892,0.913906822
1.893,0.9139139
1.894,0.913924329
1.895,0.913936994
1.896,0.913950776
1.897,0.913964558
1.898,0.913977223
1.899,0.913987653
1.9,0.91399473
1.901,0.913997338
1.902,0.913997338
1.903,0.913997338
1.904,0.913997338
1.905,0.913997338
1.906,0.913997338
1.907,0.913997338
1.908,0.913997338
1.909,0.913997338
1.91,0.913997338
1.911,0.913997338
1.912,0.913999945
1.913,0.914007022
1.914,0.914017452
1.915,0.914030117
1.916,0.914043899
1.917,0.914057681
1.918,0.914070346
1.919,0.914080775
1.92,0.914087853
1.921,0.91409046
1.922,0.91409046
1.923,0.91409046
1.924,0.91409046
1.925,0.91409046
1.926,0.91409046
1.927,0.91409046
1.928,0.91409046
1.929,0.91409046
1.93,0.91409046
